,customer_id,LOCATION_NUMBER,VENDOR
40,WSVG6Y9,0,75 192 75 75 75 75 75 75 75 75 75 192 75 75 75 75 75 75 75 75 192
41,MYPR8IK,0,300 300 300
42,9M9LHRY,0,195 195 195 195 195 75 195 195 195 195
43,UINGJGR,0,180 180 180 180 180 113 195 180 180
44,5XOVBAT,0,75 75 75 75 195 78 195 75 157 195 75 75 195 195 75 75 195 75 75 75
45,3ISHF8M,0,20 303 75 134 303 75 265 75 75 104 195
46,KHL0M3N,0,231 294 231 83 83 83 83 85
47,R4TW4EP,0,75 75 75 75 75 75 75 75 75 75 75 75
48,TL7Z2DM,0,75 75 75 75 75 113 78 75 75 75 78 75 75 207 75 75 75 207 75 75 75 75 75 75 20 75 75 75 75 75 75 75 75 75 20 75 75 75 75 75 75 75 75 75 75 75 75 75 75 75 113 75
49,T3PR0JO,0,85 83 44 85 85 85 391 391
50,P6I0H2R,0,195 195 195 195 113 195 113 78 113 195
51,VT0Z8V9,0,193
52,HBLGAXG,0,303 303 303
53,KXGTTXE,0,225 303 113 225
54,MSZLX2A,0,81 20 20 303 303 180
55,1WUPJGN,0,221 221 221 221 221 221 23 221 221 221 221 221 104 300 145 20 221 83 221
56,MOGAMGX,0,20 300 4 4 4 81 81 81 81 20 4 180
58,AJ9WM61,0,81 33 4 33 81 303 303 303
60,T2XWPU1,0,110 110 110 110
61,VDY1B1V,0,81 81 81 81 81 81 81 81 81 81 221 81 81
62,O7O130D,0,176 4 4 55 176 176 176
63,NPO5O5W,0,180
64,KZHIUNS,0,33 76
65,T6PX280,0,23 33 4 4 4 33 23 23 4 33 4 23
66,O7K6KY6,0,115 221 115 192
67,LLXSRZN,0,113 259 113 113 113 113 113 113 113 113
68,XOIAMO3,0,4 13 4 4 159 13 13
69,X6FWXXL,0,113 113 113 113 149 149 113 13 113 113 113 113
70,318RTJF,0,13 4 176 13 176
71,PH2CZRN,0,4 4 76 55 180 76 76 4 176 55
72,FWNWSYH,0,4 4 20 81 4 176 221 13 274 4 81 274 176 81 274 81 180 180 300 221 180 23 23 81 192
73,RFZNXM7,0,288 106 75
74,20E1IQT,0,20 221 20
75,FWNWSYH,1,4 20
76,8FALCPS,0,193 193 193 105 105 105
77,VE6IAW5,0,300 300 300 300 300 300 300 300 300 300 20 300
78,Y0NMMTW,0,157 157 192 180 419 207 92 92
79,90HT14J,0,157 201 90 201
80,QSBN2T0,0,113 113 113 113 113 113 113 113 113
81,22EG11G,0,4 176 180
82,WNB9LPJ,0,159 104 81 104 81 4 104 4 180 104 104 4 104 81 104 104 104 4 4
83,9R7Z8H2,0,289 243 243 13 243 289 289 289 289 243
84,TC2H7PX,0,221 221 207 300 300 221 265
85,YW3J3MM,0,113 113
86,U31BNUR,0,303 134 303 303 134 66 110 303 300 265 300 300 134 66 134 300 134 221 265 180
87,B19DQ80,0,106 106 106 113
89,EB6UI7F,0,76 104 180
91,Q9YJZ1Q,0,303 300 300 81 303 303 303 303 33 303 303 221
92,RSX05RF,0,83
93,43RZB8B,0,76 104
94,FRBAFP4,0,180 265 55 81 192 180 81 192 176 92 180 113 180 180 81 192 180 20 92 180 20 274 149 81 192 192
95,HZEPQ0Z,0,113
96,JHLR9GG,0,303 134 189 303 303 134 81 134 81 113 134 303 113 303 298 303 78 303 303 81 303 274 13 274 310 274 134 115 134 134 259 134 274 221 92 23 20
97,EERHFLJ,0,104 180 4 104 81
98,M2GM6HC,0,104 78 104 78 78 78 104 104 78 104 104 104 104 104 104 104 104 78 113 104 104 195 78 259 104 78 104 104 78 104 78 104 104 113 4 149 113 78 113 78 113 113 274 78 195 78 195 104 419
99,8BZR1IV,0,20 33 33 33 33 33 33 81 20 20 20
100,YBKB628,0,303 303 303 303
101,OH64IO0,0,310 113
102,RLOTER7,0,78 113 78 78 78 259
103,NY73W6G,0,113 113 113 113 113 113 113 113 113 113 113 113 113 113 113
104,RRVZGFC,0,196
105,OQF2WQH,0,113 259 259 78 310 113 288
106,0NDRIYA,0,55 104 104 4 104 104 55 104 104 104 55
107,4E1QHWW,0,78 78 106 106 78
108,KXXRD9J,0,157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157
109,JKXJDSX,0,180 180 195
110,K7XV6Q7,0,78 78 113 149 106 78 28 149 149 149 78 149 113 149 149 149 113 149 149 149 113 78 149 113
111,JBAG0YE,0,201 110 265 288 78 110 110
112,AF20MV6,0,274 81 274 274 274 274 274
113,NFFF7FQ,0,4
114,24BIGYR,0,265 66
115,V5EUZQT,0,90 90 90 243 83
116,NBHQJXI,0,265 176 78 78 195
117,0HUMB5G,0,304 105 105 43 105 43 105 105
118,A9EZUO7,0,113 113
119,5MQBPLB,0,113 113 78 113 113 113 113 113 78 113 113 113 288 113 113 176 113
120,9U33UT3,0,83 193 193 193 193 83 83 83 83 83
121,OQ27G1K,0,4 113 106 113 104 221 419 23 113 78 113 78 75 110 113
122,8612ERV,0,113 78 78
123,IZMDXXS,0,78 310 75 75 66 310 75 78 113 113 113 75 113 75 113 113 75 113
124,A46KPEA,0,157 157 157 157 157 157 157 157 157 157 157
125,Q3IYJX0,0,78 104 4 20 300 78 176 4 20 259 176
126,T4T3XCP,0,303 303 134 134 303 20 303 159 92 303 159 134 274 28
127,HFV6UDI,0,78 149 113
128,CMFIDJ7,0,106
129,Y8656NW,0,113 113 113 113 113 113 113 113 113 113 113 113
130,HRAMA41,0,115
131,543AJ2U,0,78 78 90 78 78 20
132,7IW4MQU,0,113 113 113 113 113 113 113 113 28 113 113 113 113
133,10W6Y7S,0,303 192 106 176 110 106 106 106 106 110 66 310 66 274 106 66 189 106 106 265 106
134,G5108U3,0,113 113 113 78 195 115 300 78 78 78 113 78 113 106 113 176 113
135,E9GLJWS,0,33 92 180 180 180 180 157 189 180 33 76 81 76 33 180
137,IFDT0BW,0,289 289 289 289
138,T3KF31M,0,180 303 192 180 303 303 180 176 303 303 303 13 192 113 192
139,J9XJPG4,0,265 265 265 265 23 265 265 265 265 265 265 110 110 4
140,IQNDXZJ,0,110 189
141,48WKJOT,0,106
142,12J3UW6,0,259 20 20 75 75 75
143,K3SLMMQ,0,303 33
144,KUK5AXP,0,176 176 33 75 20 113 20 188 13 81 75 113 134 176 113
145,EEPZUVF,0,78
146,CQMPL3W,0,157 157 157 157 157 157 157 157
147,NQR774R,0,78
148,J0KENW4,0,75 195 78
149,IVBRGV0,0,160 250 160 160
150,5VGAX6Q,0,134 159 134 159 134 134 159 20 159 134 192
151,V8LQURR,0,75 20
152,5ISO1P9,0,195 196 203 196 196 196
153,XFMEOYT,0,83 83 83 83 83
155,ZGFSYCZ,0,303 303 303 303 303 274
156,OB15TZY,0,78 78 192 274 106 78
157,KMP3EIT,0,28 113 113 66
159,FCPLE31,0,157
160,1R8QYFT,0,221 176 221 221 300 176 176 221
162,1BZZJ8B,0,300
163,88WTEML,0,106 106 225 106 106 106
164,4JFU82B,0,191 294 105 105 83 85 105 85
165,P4HOEHG,0,78 265 265 78 78 78 78 265 265 78 78 78 78 265 265
166,5MA3NCZ,0,83
167,0XBEAJO,0,110
168,JF2B2KU,0,189
169,NIJE0GT,0,92 33 33 110 110 92 92
170,OV0HBA0,0,192 92
171,Z5QDZ66,0,221
172,81IWBP7,0,85 243
173,LIF5VM1,0,176 195
174,CPETDPM,0,289 148 83
175,WB681BO,0,271 90 105
176,VB9YGMX,0,113
177,0UNTYTD,0,81 81 110 106 78 81
178,4BQI76G,0,105
179,8RRPR7U,0,299 201 201 201 201 201
180,K9VYYXJ,0,113 113 113 310 113 113 113 106 189 78 113
181,OWUFK44,0,85 90 85 83 105
182,VD82HFH,0,83 83 83 294 83 195 250 294 391 83
183,YCWY9IE,0,104 113 113 113 113 113 113 113 113 75
184,OARI43L,0,78 113 78 113
185,PMTKV28,0,113 78 78
186,8VJ39OW,0,113
187,XJL07PO,0,250 250
188,V18BTQ9,0,274 303 192 4
189,XR0J5DL,0,221
190,CU053IJ,0,300 300 300 221 20 20 81 4 20
191,V6JC4VF,0,105 105 193
192,VLDIWLI,0,113
193,P22KXPO,0,201 201 81 192 195 81 81 20 20 20
194,IWOFQNP,0,203 203 203 203 203 203 161 161 203 161
196,QTAM4AO,0,85 85
197,X8NVUI9,0,203
198,6E4TG5L,0,85 85
199,3IZIT9X,0,298 78
200,31HG5D2,0,113 192 113 113
201,FO7VVTC,0,196 75 196
202,96U4HCA,0,28 78 78 78
203,ENHTOLO,0,83 83 83
204,3BRZCQK,0,134
205,RYV1HLM,0,231 243 231 160 105 105 231 193 193 105 231 160 231
206,BAM8Z8O,0,13 23 20 13 76 23 13 13 13 13
207,6GW9JIZ,0,113 207
208,NSE2CP5,0,85 271 105 160
209,IU5G2MV,0,78 78 78 78 207 207 78 78
210,2REWQEY,0,176
211,BYZEDPF,0,85 193 85 85
212,O77ATOH,0,110 110 110 110 33 189 110 134 110
213,KQKMTKG,0,196 196 104 203 196
214,K607Q94,0,85
215,YYDRRVZ,0,90 90 294
216,25AWPGL,0,221 221 75 221 207 134 221 221 134 221 221 75 221 221 221 221 221 134 134 221 75 221 4 221 134 221 225 221 75 221
217,H1ROQQD,0,207 4 4 4 4 33 33
218,KKHY8XM,0,83 83 83 83
219,HXXSM91,0,4
220,39MGW9L,0,78 78 78 78 78 78
221,ME7VZOB,0,83
222,7DHXYCH,0,159 104 159 104 159 159 104 159
223,3C0R3BF,0,83
224,8WA8L10,0,265
225,YNHOI8Q,0,176 195 20 159 159 159
226,KAXZZDM,0,43 85 154 154
227,CHOGUPR,0,196 161 161 161
228,5LERT51,0,192
229,Y0MP6PD,0,203 161
230,PHBRPSP,0,23 66
231,P9PGO2N,0,85 105
232,CDFC375,0,197
233,4YP9UQV,0,78 78 159 78 78
234,49SQWNT,0,78 113 78 113 106 113 113 78 78 78 81
235,CVBL9KD,0,159 192 159 192 192 176 4 176
236,NXBSD7Q,0,161 203 161 161 161
237,R1JGIT3,0,20 75 75 75 110 221 104
238,P97OM97,0,134 83
239,9XPYHT6,0,28 113 113 113 113 113 113 113 113 113 28 195 196 113 78 113 113 113 113 161
240,4AU73XO,0,201 43 243 43 83
241,IJHNJ90,0,105 105 105 148 85
242,TM7EV52,0,192 159 192 192 104 159 192 192 192 207
243,N94XH2T,0,134 134 134 134 134 134 134 221 134 134 134 221 134 134 134 221 221 221 221
244,PQB9ZOG,0,243 105 105 160 145
245,6O8CYWX,0,78
246,BRZ7ZFO,0,83 83
247,IB555AJ,0,105 294 294 105 145 104 105 83 105 83 105
248,QLDXDPF,0,78 78
249,9AJM2R7,0,180 192 81 180 159 180 159 274 159
250,08BB1CN,0,148
251,G9ARH06,0,78 78 78 66 78 78 78 78 78
252,1WQV4JF,0,134 104 81 134 134 134 134 134 134 134
253,436H5RZ,0,192 104 159
254,QNZ8YW0,0,176 176 113
255,4I5L9CP,0,113 33 113 33 113 288 75 113 33 113 33 113 33 113 113 78 104 113 113 113 113 265 113 113 113
256,3QS2ZC4,0,192 180 192 192 192 192 192 192 192 192 192
257,QAEWDCD,0,195 113
258,3Q7TELB,0,203
259,HX76ORD,0,159 300 159 300 300 300 300 274 300 300 159 300 300 300 159 300 300 300 221 300 300 159 300 300 159 300 300 159 221 300 159 159 159 159 159 159 300 159 300 159 274 221 81 81 221 81 159 221 159 159 159 159 159 13 33 81
260,ZA2EWEB,0,294 294 83 83 294 294 83
261,XW90EAP,0,4 13 33 159 13 13 13 13 13 13 13 33 13 4 13 159 13 159 13 13 13 13 13 159 192 303 192 13 13 13 303 13 4 303 298 81 13 13 303 274 298 81 159 13 13 13 303 13 81 13 4 13 13 159 13 13 159 4 81 4 13 81 13 13 159 13 13 13 13 13 4 81 13 159 13 13 4 13 81 13 13 159 159 13 13 159 81 13 159 4 13 13 13 13 13 13 4 13 13 81 159 13 13 159 4 13 13 13 13 159 159 13 33 159 13 13 13 13 13 159 303 303 92
262,6013PWK,0,78 113 78 106 78 78 78 113 78 113 78 78 78 78
263,XP5OI1S,0,83 160 160 83 83 83 289 83 83 160 83
264,EC7QSS0,0,85 85 85 85
265,85TWZPD,0,192 303 192 92 13
266,478OWMF,0,66 66 66 66 110 66 66 66 66 66 110 66 78 110 106
267,0KQF479,0,83
268,2WGF9T2,0,92
269,RAES6KP,0,161 161
270,L3EY9BH,0,221 33 221 221 33 33 33 221 221 221
271,NVDVNOO,0,105 199 199 199 199 199
272,FS229TW,0,157
273,M1G3OA3,0,201 193
274,K94CEP2,0,288 288 82 289 43 289 288 82 43 288 288 82 44 288 82 43 82 288 288 288
275,3XYNP2P,0,104
276,NRSDAY3,0,195
277,5U9EJUS,0,145 43
278,20UVY7V,0,90 90 83
279,PER6ZGQ,0,90 289
280,TDF8SHV,0,92 81 192 92 274 92 92
281,VVJC2WN,0,66 85 192 288 113 44 113
282,VLXLNZM,0,105 83 83 90
283,76WDK53,0,33 33 33 76 76 92 288 76 76 76 113 134 76 288
284,SMSZ1HJ,0,110 274 83 78 78 78
285,P2JFHS2,0,92 4 180 134 134 134 134 4 180
286,XN02EHS,0,243 145 145 243 243 243 83 145
287,ADRN8OK,0,148
288,TE8TOX7,0,201 299 201
289,NW4MCEH,0,299 90 90 90 90 90 90
290,4L1CPE9,0,304 294 294
291,X2DX17F,0,192 195 180 274 180 195 81 274 274 195 195 195 274 195 192
292,IBUJIN8,0,78
293,DB5OJAP,0,83 193 193 391
294,AUTNX9B,0,78 78 78 78 78 78 78
295,M4GSENV,0,192 23 4
296,RQ4TGLX,0,83
297,P9XGQ9L,0,83
298,EAUCO1M,0,274 134 104 221 4 104 33 274 134 104 134 92 104 33 33 92 134
299,Q49CWN5,0,78 113 78 113 78 78 78 113 113 78 78 78 113 78
300,JS6I2D5,0,78 113 115 259 106 78 113 104 78 113
301,Y3AK8Y4,0,265
302,3V1MHJ2,0,199 289 231 83 231 105 83
303,4SOQGC3,0,78 259
304,XABB70S,0,231 294 294
305,OYWYUGA,0,195 4 4 195 4 195 4 4 195
306,M7BU6GY,0,197 85 197 67
307,AZ0OGDU,0,199 199 85 231 199
309,5AI8FWZ,0,193 193
310,V3N0YIJ,0,161 161
311,NZ5WUJW,0,23 23 265 23 23 23 23 23 23 23 23 23 265 265 106
312,7OL6FIQ,0,78 78 78 78 106 78 78 78 28 106
313,DBPQSQY,0,83 83 193 193 83
314,8YXGH16,0,78 78 113 189 157 78 225 113 225 78
315,PCN86VI,0,78 78 78 78 78 78 78 78 78 78 78 78 78 78 78
316,B28LJKM,0,192 92 4 134 159 303 192 4 110 110 33 92 92 4 33 4 92 92 92 92 92 33 192 33 192 92 110 33 92 4 92 4 110 134 92 92 33 92
318,4835XS9,0,304 391 294
319,8CAR5J8,0,195 28
320,J97SQB2,0,310
321,OHBXQDW,0,231 231 191
322,9Y5XFT2,0,193 193 193 193 193 193 193 193 193
323,M03SUQE,0,113
324,EUYSCBB,0,225 225 225 225 225 225 78 78
325,M6HFK6U,0,265 195
326,ZXPXWIO,0,134 134 192 4 23 76 134
327,ETQS9BS,0,134 265 265 4 265 192 265 192
328,WNGEB35,0,154 154
329,WZ0STV7,0,113
330,OEM4H2A,0,83 83 85 83 83 83 160 115
331,NUWB7AJ,0,189
332,E7QP3CG,0,78
333,FJ5PDVP,0,195 104 195 104 195 195
334,IIPHXPF,0,259 66 113 78 113 157 78
335,A0KACED,0,78 78 225 225 78 201 201 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78
336,LXL4T3C,0,159 33 33 104 33 104 195 33 104 195 33 159 33 104 33 33 195 104 33
337,5ZOVXYS,0,28 195
338,8R7VHU5,0,4 195 113 192
339,661O1O0,0,43
340,T6LNIA8,0,193 85 83 43 199 199 83 83 85
341,52NYHJB,0,83 83 356 391 83 83
342,X8JYJY3,0,310
343,BEZDILS,0,201 195 195 195
344,YZNHLAP,0,106 113 207 113 113 113
345,OD336VP,0,105
346,N4F5VWP,0,66 259 106 113 113 78 113 113 66 66 106 113 106 106 66 113 66 113 78 113 106 157 66 113 66 66 113 66 66 113 259 66
347,QURUHAI,0,81 225
348,FP6IQUM,0,159 28 159 159 259 4 78 159 159 159 159 159
349,KL09J9N,0,84
350,H5LGGFX,0,78 78 78 78
351,CYLZB6T,0,4
352,4YKUKYN,0,157 157
353,WDNU30K,0,160 43 304 43
355,TVSPG2H,0,43 105 43 43 43 43 43 85 43 43 85 105 43 43 43 43 43 43 43 193 43 43 43 43 391 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 193 43 43 43 43 43 43 43 43 43 43
356,OYLHPF4,0,78 78
357,AV6FKT9,0,43 85
358,BQG3CJO,0,294 294 294 294 90 85 231 304 294 83 193
359,EO5GVSI,0,78 113 78 113 78 78 78 66 66
361,ESRFDR9,0,104 20
362,84X44S0,0,243
363,II9FYLU,0,83 83
364,ZMO0A3K,0,78 78 78 78 78 78 78 78 78 78
365,X8BK4DW,0,78 78 106 106 106 78 78 78 106 78 78 78 78 78 78 78 78 78 106 78 78 78 78 78 78 106 78 78 78 78 78 106 115 106 78 78 115 78 78 106 78 78 113 78 78 106 78 113 78 106 78 78 78 78 78 78
366,KQH8R8C,0,159 159 159 159 159 78 159 159 159 78 78 78 159
368,CF80YUJ,0,105 195 105
369,K9UGDAM,0,55 104 55 104 104 104
370,IO5L2X3,0,83 44 83 83
371,SVFMLCH,0,83 83 193
372,3Z3DV1U,0,231 145 83 193 83
373,DFIDHD7,0,105 105
374,DGEEXVO,0,81 33 110 81 104 274 92 265 33 274 274 81 33 207 33 92 192 134 33 33 33 81
375,35BJMOC,1,300 300 300
376,2TWWD7O,0,180 221 195 195 84 221 180 195 195 195 195 4 4 195 180 180 195
378,E8ION1G,0,300 300 13 221 13 221 300 221
379,P4UIR87,0,20 78 265 78 78 78 288 180 265 265 180 180 192 157 20 78 78 259 265 20 265
380,DIQ1RUF,0,20 92 192 189 134 33 274 110 20 192 75 20 81
381,32VMUF3,0,20 195 176
382,LATI4VK,0,303 303 303 303 303 303 303
383,1BF95A5,0,20 134 92 134 20 134 92 4 20 20
385,TL7Z2DM,1,20 75 75 106 75 207 207 75 207 75 207 75 20 75 75 75 75 75 75 75 207
386,LLCVVMT,0,310
387,4PUJ4R4,1,300 300 300 300 300 300
388,F1V9X0T,0,289
389,S9609KN,0,201 201
390,G4DQ1YF,0,265 78
391,LO0Z5SH,0,66 28
392,SIV4HW9,0,192
394,HOZGFTV,0,145 145 145 145 145 197
395,5SQI87U,0,113 78 113 78 113 78 78
396,XTYVSHJ,0,113 113 28 113
397,ZH4AIBH,0,134 303 134 300 4
398,HLMHHQQ,0,289 289
399,ON0VN1N,0,113 265
400,F1H04U7,0,157 157 157
401,9S4RBIP,0,106 189 110 66 106 106 106 110
402,QMYKJZJ,0,113
403,DB9TN5D,0,157 113 113 250 157 157 157 259 113 157 207 113 113 113 113 113 157
404,EB8AYOL,0,110 110 265
405,OEYCHXQ,0,113 113 78 78 78 28
407,K22POF9,0,113 149 176 195 75 113 259 259 149 115 78 149 259 310 115
409,1HQG2XD,0,265 310 310 310 265
410,51Y178V,0,75 78
411,QX2H73R,0,113 113 113 113 113 113 113 113 113 259 113 28 28 113 113 113 113 78 113 113 113 113 113
412,N8WINW9,0,157 157
413,YHFIIJ0,0,289 289
414,DW8D2N6,0,4 4 4
415,OD336VP,1,106
416,5W8VNE1,0,289 105 289 105 105 304 289 289 105 105
417,GJ4LZ47,0,82 193 83 193 193 193 193 193 105 82
418,8AHKGX0,0,113 113 113 113 113 113 113 113 113 78 113
419,2LS6BMO,0,289 160 289 105 83 160 105 83 148 289 289 43 43 160 193 85 160 243
420,9SSBE7I,0,104 274 105 33 134 274
421,8RW45PT,0,106 106 221 221 115 78 106 78
422,NC71OQ8,0,113 113 113
423,OK6N5SP,0,113 110 110 265 78 159 81
424,VT7GEDC,0,149 113 78 157
426,NT74OKD,0,20 33 265 92 92 265 92 265 33 192 265 274 159 265
427,FMT9B7A,0,104 28 28
428,42OWATG,0,104
430,0ZU8WW6,0,105 105 105 154 154 154 154 154 154 105 145 145 154 105 145 105 105 145 193 105 105 105 105 105 154
431,0F3YWPW,0,81 78
432,VX8U41B,0,113 4
433,FY7T803,0,104 104 104 104 104 104 104
435,68L0N3S,0,82
436,6U50NT6,0,85 85
437,HO9JQO3,0,154 83 90 83 83 43 43 83
438,ABAV063,0,203 106 203 203 203 161 161
439,9UJL2MD,0,274 28 13
440,236EYXB,1,134
441,SXWR7WC,0,85
442,79V23KF,0,85 83 83
443,JDWAYI6,0,85
445,TTPS1K2,0,113 4 157 192
446,QE2CHS9,0,115 207 115 207 115 115 85 115 115 115 115 115 115 78 115 28 115
447,EC2KZW1,0,225 78 265 265 28 113 265 75 225 75 265 265 113 75 265 81
449,V5XISWP,0,203
450,MR6ILXL,0,83 83 83 83 83 83 231 83 250 83
451,QAQ7JMD,0,193 193
452,Q2AC9FH,0,85
453,3P9113W,0,85
455,WUX0W4V,0,92 92 92
456,KSO042S,0,85
457,Z5G4CB3,0,84 84 84 84 84
458,QXDLX5M,0,85 231 85 231 85
459,O6Y6U1F,0,85
460,PU6K5XR,0,196
461,I3BAXMP,0,193 85
462,SLI9HB9,0,110 78 78 134
463,374IOMA,0,134 134 134 134 134 134 134 134 134 134 134 134 134 134 134 134 134 134 134 134 134 134
465,R2JHUUZ,0,85
468,5B147F7,0,85 193 250
470,81B25GT,0,193 85 193 193 193
471,UEVFCHM,0,75 300 300 300 419 300
472,NGXUX69,0,105 105
473,X4EU9W2,0,289 85 180 289 148 90 160 294 154 145 231 160
474,Y73XMWN,0,203
475,3QJHTM1,0,299
476,08F2YRP,0,113
477,K3WSGUM,0,92 159 33 33 92 33 92 33
478,GM2YON5,0,207
479,QE2CHS9,1,159 115
480,2XI0D7K,0,265 134
481,Y39V6UD,0,310 300 33 134 274 134 75 75 75
482,ENTPXG9,0,85
483,088BPLC,0,85 243 83 83
484,AVMHK3Q,0,66 66 66 176 66 66 149 66 66
485,Q0ZN5MJ,0,23 115
486,8Y9TT65,0,154 231 43
487,GG8SJLN,0,288
488,HY4W8WE,0,154 154 145
489,N25H18N,0,83 83 83
490,ZCP73QX,0,92 310 110 110 110 110 110 110 110 92 92 110 92 92 110 110
491,3P8T2HP,0,299
492,EQR1MWG,0,83
493,CKRU0MV,0,110 20 192 192 221 221 149 221 192
494,PQT841M,0,193
495,YU90KWF,0,105 243 105 105 105 105
497,D7GQVAR,0,92 192 192 192 192 192 192 192 192 192 192 192 192 192 192 192 78
499,NFJLP1V,0,76 92 113 81
500,LNPZX1F,0,83
501,WUTP79J,0,104 104 104
505,DZR90R0,0,83
506,F2IC9CG,0,159 159 159
507,PYX53R1,0,192 192 192 92 192 192 192 192 134 192 92 13 92 92 13 192
508,R1082ZU,0,110 110
509,3SALXXF,0,161 161 161 196 196 196 196 196 161 196 196 196 161 196 196 161 196 161 196 196 203 196 161 161 161
510,SNAO0NU,0,161
511,6LKNTQG,0,192 192 192 66 192 192 113 78 78 192 113 78 192
514,Q0T924D,0,83 294 83 83 105 193 199 294
515,BDD9FSV,0,176 265 189 207 265
517,R5XAQ44,0,110
519,EDCSZPM,0,110 110 110 110 110 110 110 110 110 110
520,EEWWR2C,0,192 159 134 23 159 159 274 192 81 104 192 221 159 274 300 4 300
521,A5OFONY,0,106
522,CRQ74M6,0,298 92 274 274 81 274 92 4 33
523,NGOPBF8,0,75 75 110
524,NWZNS5P,0,154
526,Q2NSRXZ,0,78 106 78 78 78
527,7AMCAGF,0,154 83 199 154 83 83 243
528,O49LK57,0,274 274 274 134 274 274 134 274 274
529,ZVFPRG1,1,159 33
530,0SIOQGR,0,4 4 4 274 274
532,PHM4R50,0,78 113
533,Q6GRV2D,0,294 154 105 299 82 154 105 299 83 105 154 105 105 83 90 299 82
534,WSJ9IZP,0,159 78 288 78 145 81 78 250 192 193 20 78 250 78 265 78
535,QVZ1NPG,0,145 83 83 193 43
536,KK5C3IZ,0,83
537,JHFSJJN,0,75
538,P2XL30D,0,161
539,MEA2WMG,0,199 289
540,MICNNLD,0,83 105 83 105 105 83 83 83 105 83 83 83
541,CRSL74M,0,157
542,BLDGNI4,0,66 106 78 78 78 78
543,CIGTFUS,0,78 78 78 78 78 78 78
544,1JMYPSA,0,274 274 274 274 92 92 92 4 180
545,5XCETEN,0,195 195 195 195 195 195 159 159 195 195 195 195 195 195 23 195 159 195 195 195 207 195 195
546,95DOM9X,0,105 145 105 105
547,V4P64LJ,0,145 304 304 193 145 193 193 193 193 193 43
548,49ESIGB,0,106 110 106 113
549,B97HZHV,0,106 113 115 157 106 288 115 115 78
550,WOXOLN9,0,192 192 192 192 192
551,2R69MAL,0,193
552,HBM0RJX,0,195 115 78 195 78
553,1Z2P3S8,0,66
554,CRR5IEM,0,299 271 271 231 289 193 193 243 289 193 83 289 294 289 231 83 193 243 289 105
555,CZ2OMIL,0,33
557,LXEOMC2,0,299 243 43 299 43
558,YQSIXM7,0,90 90 90 90 83 90 90 90 90 90 90 90 90 90 90 90 90 83 90 83 160 90 83 90 90 67 67 67 67
560,AA31G37,0,85
561,WZ8EABA,0,195 78 180
563,0NH5LCU,0,161 161 161 161
564,WLWU8CR,0,4 23 159 13 180 81 23 4 92 104 81
565,APT05AH,0,78 193 110 78 78 78 78 66 78
566,UNJUDR3,0,160 90 145
567,2QOHAEK,0,243 83 105 43
568,FHDIRYD,0,110 110 134 303 303 110 110
569,PNUQ7MF,0,78 225 78
571,E4ZWBIY,0,83 83
574,9SHNBZL,0,78 78 113 78 78 78
575,88M1DS6,0,157 78 157
576,MZY25SS,0,90 85 193 113
